id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24736036,Home in San Francisco · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,56398946,Marcia,,Outer Richmond,37.77817,-122.50381,Private room,69,1,201,2020-03-27,2.96,3,333,0,STR-0005150
24755682,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Mission,37.76432,-122.4186,Entire home/apt,83,30,1,2022-08-20,0.06,155,177,0,
24782542,Rental unit in San Francisco · ★4.96 · 2 bedrooms · 2 beds · 1 bath,5503776,Anna And Alex,,Castro/Upper Market,37.75714,-122.43352,Entire home/apt,279,2,408,2023-11-19,6.07,1,39,78,STR-0003178
24793296,Home in San Francisco · ★4.99 · 2 bedrooms · 2 beds · 1 bath,2419887,Stephanie,,Bernal Heights,37.74758,-122.42321,Entire home/apt,406,2,70,2023-11-16,1.16,1,334,21,2022-011691STR
24823466,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,10729940,Claudia,,Castro/Upper Market,37.766,-122.43498,Private room,135,30,7,2023-08-08,0.11,2,144,2,
24828324,Home in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1 bath,20583271,Erin,,Bernal Heights,37.74019,-122.41006,Entire home/apt,300,2,22,2021-07-31,0.35,1,0,0,City Registration Pending
24865936,Boutique hotel in San Francisco · ★3.75 · Studio · 1 bed · 1 private bath,55782784,Kevin,,Downtown/Civic Center,37.78935,-122.40735,Private room,250,2,4,2023-04-25,0.06,23,354,1,License not needed per OSTR
24890095,Guest suite in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 bath,188173660,Yijia,,Parkside,37.74559,-122.48953,Entire home/apt,89,1,155,2023-11-05,2.32,3,0,23,2023-008856STR
24917420,Rental unit in San Francisco · ★5.0 · 3 bedrooms · 4 beds · 2 baths,15698776,Sofia,,Western Addition,37.77636,-122.43209,Entire home/apt,350,30,17,2022-01-15,0.26,1,337,0,City registration pending
24944439,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.7856,-122.41443,Entire home/apt,87,30,0,,,155,363,0,
24944867,Rental unit in San Francisco · ★4.50 · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78379,-122.41025,Entire home/apt,76,30,4,2021-12-05,0.06,155,365,0,
24964591,Condo in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2 baths,188731766,Denise,,Russian Hill,37.80495,-122.42213,Entire home/apt,3000,3,7,2022-03-15,0.11,1,83,0,License not needed per OSTR
24968111,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78419,-122.41209,Entire home/apt,76,30,1,2022-08-13,0.06,155,177,0,
24968783,Rental unit in San Francisco · ★5.0 · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78609,-122.4112,Entire home/apt,81,30,3,2022-07-10,0.06,155,177,0,
24992845,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Mission,37.76536,-122.41911,Entire home/apt,79,30,1,2019-02-06,0.02,155,363,0,
24994118,Home in San Francisco · 1 bedroom · 1 bed · 5 shared baths,10624127,Bed|N|Build,,Nob Hill,37.7924,-122.41952,Private room,47,365,1,2019-08-02,0.02,5,0,0,
25027248,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78467,-122.41474,Entire home/apt,75,30,1,2018-09-16,0.02,155,177,0,
25034848,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.7861,-122.41203,Entire home/apt,81,30,2,2022-08-23,0.03,155,177,0,
25054741,Condo in San Francisco · ★5.0 · 3 bedrooms · 4 beds · 0 baths,30987534,Serena,,Pacific Heights,37.79517,-122.42515,Entire home/apt,979,30,10,2019-01-22,0.16,1,329,0,City Registration Pending
25058405,Guesthouse in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 bath,95227196,Wendy,,Visitacion Valley,37.71693,-122.40202,Entire home/apt,48,1,150,2023-11-25,2.24,5,0,24,STR-0002895
25058782,Rental unit in San Francisco · ★4.87 · 2 bedrooms · 3 beds · 1 bath,95227196,Wendy,,Visitacion Valley,37.71657,-122.40202,Entire home/apt,85,1,255,2023-12-03,3.81,5,193,46,STR-0002895
25058920,Rental unit in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 bath,95227196,Wendy,,Visitacion Valley,37.71728,-122.40322,Entire home/apt,53,1,183,2023-11-26,2.72,5,0,36,STR-0002895
25167424,Rental unit in San Francisco · ★5.0 · Studio · 1 bed · 1 bath,4430421,Landmark,,Mission,37.75416,-122.424,Entire home/apt,98,30,7,2022-09-04,0.11,155,178,0,
25189704,Rental unit in San Francisco · ★3.50 · 1 bedroom · 2 beds · 1 shared bath,62034618,Ting Ting,,Outer Sunset,37.76358,-122.47968,Private room,65,30,4,2023-04-24,0.06,20,364,1,
25195284,Condo in San Francisco · ★4.50 · Studio · 1 bed · 1 bath,176667099,Samir,,Chinatown,37.79114532470703,-122.40775299072266,Entire home/apt,78,90,10,2023-08-04,0.15,1,306,1,
25234139,Rental unit in San Francisco · ★5.0 · 1 bedroom · 2 beds · 1 bath,115689498,Alok,,Mission,37.75768,-122.40861,Entire home/apt,135,30,6,2021-04-30,0.09,1,0,0,
25237201,Condo in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 bath,1462572,Parker,,Mission,37.74969,-122.42195,Entire home/apt,102,141,13,2019-12-29,0.19,1,152,0,STR-0004620
25238517,Home in San Francisco · 2 bedrooms · 2 beds · 1.5 baths,988375,Jennifer,,Bernal Heights,37.73482,-122.41677,Entire home/apt,250,30,0,,,19,0,0,
25254687,Guest suite in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 bath,190800963,Russ,,South of Market,37.77405,-122.41869,Entire home/apt,228,2,122,2023-11-03,1.81,1,170,14,City registration pending
25264123,Rental unit in San Francisco · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78555,-122.41201,Entire home/apt,74,30,0,,,155,177,0,
25279552,Condo in San Francisco · 1 bedroom · 2 beds · 2 baths,55782784,Kevin,,Downtown/Civic Center,37.78952,-122.4074,Private room,275,2,1,2019-01-10,0.02,23,354,0,License not needed per OSTR
25288190,Home in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,836116,Elizabeth,,Outer Richmond,37.77726,-122.49928,Entire home/apt,600,4,6,2023-10-12,0.15,2,59,3,STR-0003252
25291283,Home in San Francisco · ★4.79 · 1 bedroom · 2 beds · 1 shared bath,22936081,Zemfira,,Ocean View,37.72226,-122.45169,Private room,65,1,107,2020-03-12,1.60,2,231,0,STR-0003062
25323663,Rental unit in San Francisco · ★3.75 · Studio · 1 bed · 1 bath,4430421,Landmark,,Downtown/Civic Center,37.78397,-122.40996,Entire home/apt,76,30,4,2022-10-20,0.06,155,177,0,
25324599,Boutique hotel in San Francisco · 1 bedroom · 2 beds · 2 baths,55782784,Kevin,,Chinatown,37.79112,-122.40787,Private room,275,2,1,2019-01-10,0.02,23,353,0,License not needed per OSTR
25355368,Home in San Francisco · ★5.0 · 2 bedrooms · 3 beds · 1 bath,169948922,Erica,,Bernal Heights,37.73498,-122.42652,Entire home/apt,164,30,9,2022-08-27,0.19,1,364,0,1086829
25356099,Guest suite in San Francisco · ★4.87 · 3 bedrooms · 5 beds · 2 baths,175969733,Sat,,Crocker Amazon,37.7113,-122.44475,Entire home/apt,108,2,203,2023-11-08,3.07,4,0,32,STR-0004368
25356735,Home in San Francisco · 4 bedrooms · 4 beds · 2.5 baths,20900027,Noe,,Noe Valley,37.75221,-122.43997,Entire home/apt,254,30,2,2019-11-04,0.04,5,282,0,1077448
25376401,Guest suite in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 bath,113405017,Russell,,Castro/Upper Market,37.75836,-122.43004,Entire home/apt,208,2,130,2023-11-19,1.95,3,153,45,City registration pending
25380342,Rental unit in San Francisco · ★5.0 · 1 bedroom · 2 beds · 1 bath,191621741,Charles,,Pacific Heights,37.78812,-122.44524,Entire home/apt,130,30,7,2023-07-30,0.11,2,348,1,
25403706,Rental unit in San Francisco · 2 bedrooms · 4 beds · 1 bath,1692184,Joe & Katrina,,Russian Hill,37.79777,-122.41152,Entire home/apt,300,7,0,,,3,343,0,2022-004625STR
25405200,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 shared bath,29535485,Araceli (Celi),,Pacific Heights,37.78967,-122.43815,Private room,39,30,2,2019-01-29,0.03,1,0,0,
25407024,Boutique hotel in San Francisco · 1 bedroom · 1 bed · 1 private bath,55782784,Kevin,,Nob Hill,37.79192,-122.40942,Private room,250,2,1,2019-10-11,0.02,23,353,0,License not needed per OSTR
25419563,Guest suite in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1 bath,28190541,Stephanie,,Ocean View,37.71905,-122.44985,Entire home/apt,115,3,283,2023-11-10,4.29,1,242,44,STR-0003127
25422628,Condo in San Francisco · Studio · 1 bed · 1 private bath,6262569,Jacqueline,,Financial District,37.79044,-122.39168,Private room,198,60,0,,,2,364,0,
25432313,Guest suite in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 bath,188173660,Yijia,,Parkside,37.74429,-122.49138,Entire home/apt,89,1,247,2023-11-03,3.71,3,145,37,2023-008856STR
25432375,Guest suite in San Francisco · ★4.80 · 2 bedrooms · 2 beds · 1 bath,188173660,Yijia,,Parkside,37.74411,-122.48976,Entire home/apt,138,1,128,2023-11-10,1.92,3,145,42,2023-008856STR
25434116,Home in San Francisco · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,191314376,Jane,,Outer Sunset,37.76479,-122.47868,Private room,65,1,125,2023-11-10,1.86,5,83,25,STR-0003289
25434591,Home in San Francisco · ★4.77 · 1 bedroom · 2 beds · 1 shared bath,191314376,Jane,,Outer Sunset,37.76387,-122.48067,Private room,60,1,105,2023-10-22,1.56,5,83,12,STR-0003289
25443874,Home in San Francisco · ★4.69 · 1 bedroom · 2 beds · 1 shared bath,191314376,Jane,,Outer Sunset,37.76358,-122.47846,Private room,63,1,176,2023-11-04,2.93,5,85,29,STR-0003289
25447232,Boutique hotel in San Francisco · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Downtown/Civic Center,37.78981,-122.40917,Entire home/apt,250,2,0,,,23,354,0,License not needed per OSTR
25447312,Boutique hotel in San Francisco · ★4.50 · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Chinatown,37.79037,-122.40773,Entire home/apt,235,2,4,2023-04-25,0.07,23,354,1,License not needed per OSTR
25447328,Boutique hotel in San Francisco · ★3.67 · 1 bedroom · 1 bed · 1 bath,55782784,Kevin,,Chinatown,37.79162,-122.40769,Entire home/apt,235,2,3,2023-04-22,0.05,23,354,1,License not needed per OSTR
25447349,Boutique hotel in San Francisco · 1 bedroom · 1 bed · 1 private bath,55782784,Kevin,,Chinatown,37.79141,-122.40741,Private room,260,2,1,2019-01-09,0.02,23,353,0,License not needed per OSTR
25447359,Boutique hotel in San Francisco · 1 bedroom · 1 bed · 1 private bath,55782784,Kevin,,Downtown/Civic Center,37.79003,-122.40799,Private room,250,2,0,,,23,353,0,License not needed per OSTR
25449566,Boutique hotel in San Francisco · 1 bedroom · 2 beds · 2 baths,55782784,Kevin,,Nob Hill,37.7912,-122.4096,Private room,250,2,1,2022-06-09,0.06,23,354,0,License not needed per OSTR
25480815,Rental unit in San Francisco · ★4.77 · 1 bedroom · 2 beds · 1 bath,156365053,Sierra,,Russian Hill,37.80201,-122.42338,Entire home/apt,99,30,13,2023-07-31,0.20,1,89,2,
25512236,Townhouse in San Francisco · ★4.80 · 3 bedrooms · 1 bed · 1 shared bath,7557651,Maya,,Noe Valley,37.75118,-122.44234,Private room,88,1,5,2023-06-11,0.08,2,32,4,2022-009665STR
25554933,Rental unit in San Francisco · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,46519368,Kenny,,Chinatown,37.79732,-122.40967,Private room,59,365,7,2022-05-13,0.11,8,365,0,
25592607,Home in San Francisco · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,191314376,Jane,,Outer Sunset,37.764572,-122.479607,Private room,55,1,131,2023-10-23,1.97,5,82,24,STR-0003289
25621756,Condo in San Francisco · ★4.80 · 2 bedrooms · 2 beds · 2 baths,10624702,Karim,,South of Market,37.77782,-122.4046,Entire home/apt,155,30,65,2022-10-29,1.04,1,295,0,STR-0003564
25722729,Condo in San Francisco · ★4.98 · 2 bedrooms · 2 beds · 2 baths,57315524,Philip,,Castro/Upper Market,37.76572,-122.4325,Private room,299,5,41,2023-10-17,1.45,1,172,21,STR-0005161
25723504,Condo in San Francisco · 1 bedroom · 1 bed · 1 bath,988375,Jennifer,,North Beach,37.80308,-122.4047,Entire home/apt,124,30,1,2018-07-14,0.02,19,0,0,
25780281,Home in San Francisco · 1 bedroom · 1 bed · 1 shared bath,40426550,Kagan,,Outer Mission,37.71121,-122.44927,Private room,80,30,1,2018-09-30,0.02,4,364,0,
25785670,Condo in San Francisco · Studio · 1 bed · 1 bath,9354894,Ray,,South of Market,37.78841,-122.39053,Entire home/apt,364,365,0,,,4,365,0,
25801232,Condo in San Francisco · ★4.83 · 2 bedrooms · 2 beds · 2 baths,1257432,San Francisco Life,,Financial District,37.7891,-122.3995,Entire home/apt,223,30,6,2021-12-06,0.10,28,353,0,
25808640,Guest suite in San Francisco · ★4.78 · 1 bedroom · 2 beds · 2 baths,46412254,Mehul,,Visitacion Valley,37.71957,-122.40414,Entire home/apt,155,2,182,2023-11-24,2.79,1,50,27,STR-0005776
