id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50546059,Guesthouse in Oakland · ★4.92 · 1 bedroom · 2 beds · 1 bath,5455063,Michelle,,Toler Heights,37.75877,-122.16036,Entire home/apt,93,1,196,2023-09-13,7.21,1,120,100,
50554575,Home in Oakland · ★4.94 · 2 bedrooms · 2 beds · 1 bath,62596771,Vennessa,,Shafter,37.8371,-122.25239,Entire home/apt,150,3,34,2022-09-28,1.26,2,0,1,
50573636,Home in Oakland · ★4.67 · 1 bedroom · 1 bed · 1 bath,38703448,Alex,,Oak Center,37.80907,-122.28256,Entire home/apt,67,30,3,2023-09-04,0.26,1,307,3,
50579859,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,68563372,Chel,,Oakland Ave-Harrison St,37.8196,-122.26032,Entire home/apt,50,10,0,,,1,49,0,
50591241,Home in Oakland · ★4.98 · 2 bedrooms · 2 beds · 2 baths,3191582,Sonam,,Downtown,37.81081,-122.26916,Entire home/apt,280,2,58,2023-08-28,2.16,2,360,21,
50604608,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Downtown,37.8064722,-122.2695026,Entire home/apt,142,31,1,2023-08-16,0.88,31,351,1,
50637120,Home in Oakland · ★4.91 · 1 bedroom · 1 bed · 1 private bath,3191582,Sonam,,Downtown,37.81005,-122.26907,Private room,130,2,11,2023-05-19,0.42,2,360,5,
50684096,Rental unit in Oakland · Studio · 1 bed · 0 shared baths,409582510,Lina,,Castlemont,37.756516,-122.166687,Private room,116,8,0,,,1,364,0,
50684220,Rental unit in Oakland · ★4.90 · 3 bedrooms · 4 beds · 1 bath,51468055,Anthony,,South Prescott,37.8044,-122.29559,Entire home/apt,187,2,134,2023-09-03,4.99,2,0,50,
50699556,Condo in Oakland · 1 bedroom · 1 bed · 1.5 baths,18913809,Shahand,,Prescott,37.81161,-122.29974,Entire home/apt,100,30,2,2022-12-31,0.08,1,111,1,
50734184,Guest suite in Oakland · ★4.91 · 1 bedroom · 1 bed · 1 bath,130208443,Denise,,Golf Links,37.76588,-122.1585,Entire home/apt,110,13,11,2023-03-11,0.65,1,256,2,
50735725,Home in Oakland · ★5.0 · 3 bedrooms · 3 beds · 2 baths,4834453,Stacy,,Glenview,37.8036,-122.22282,Entire home/apt,350,2,7,2022-12-27,0.29,1,166,1,
50775606,Villa in Oakland · ★4.80 · 1 bedroom · 7 shared baths,6722695,E.J. Blumberg,,Highland Terrace,37.79386,-122.24063,Private room,100,28,5,2022-12-24,0.19,26,0,1,
50780299,Villa in Oakland · ★4.50 · 1 bedroom · 7 shared baths,6722695,E.J. Blumberg,,Clinton,37.79592,-122.24041,Private room,100,28,4,2023-01-14,0.16,26,0,1,
50806864,Guesthouse in Oakland · ★5.0 · Studio · 1 bed · 1 bath,164366996,Ameerah,,Maxwell Park,37.78158,-122.20281,Entire home/apt,70,1,3,2023-05-07,0.60,1,321,3,
50845654,Loft in Oakland · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,2713103,Derek,,McClymonds,37.81524,-122.2772,Entire home/apt,195,2,78,2023-09-15,3.23,1,165,39,
50897670,Guest suite in Oakland · ★4.92 · 1 bedroom · 1 bed · 1 bath,19524783,Sam,,Maxwell Park,37.7813,-122.19177,Entire home/apt,97,2,60,2023-08-23,2.47,1,66,26,
50915716,Home in Oakland · 3 bedrooms · 1 bed · 2 baths,411713410,Tarell,,Bancroft Business-Havenscourt,37.76919,-122.18825,Entire home/apt,94,28,0,,,1,325,0,
50959242,Rental unit in Oakland · 2 bedrooms · 2 beds · 1 bath,189795601,Alison,,Temescal,37.83645,-122.26062,Entire home/apt,250,1,0,,,1,0,0,
50959987,Home in Oakland · ★4.64 · 2 bedrooms · 2 beds · 1 bath,13834542,Sam,,Bushrod,37.84689,-122.26748,Entire home/apt,145,2,64,2023-08-13,2.46,3,88,20,
51038516,Guest suite in Oakland · ★New · 2 bedrooms · 3 beds · 1 bath,412930919,Pamela,,Eastmont Hills,37.77079220803557,-122.16498420887736,Entire home/apt,231,1,0,,,1,269,0,
51061667,Rental unit in Oakland · ★4.50 · 4 bedrooms · 5 beds · 2 baths,175153447,Cathy And Donald,,Clawson,37.8247,-122.27947,Entire home/apt,300,2,6,2023-06-17,0.39,6,358,3,
51087978,Rental unit in Oakland · ★4.67 · 1 bedroom · 2 beds · 1 bath,12485165,Mari,,Mosswood,37.82664,-122.26498,Entire home/apt,85,3,6,2021-11-01,0.25,1,0,0,
51119745,Home in Oakland · ★4.91 · 2 bedrooms · 3 beds · 1 bath,1969895,David,,Harrington,37.78624,-122.2125,Entire home/apt,68,3,23,2023-08-04,0.89,1,0,12,
51128434,Rental unit in Oakland · ★4.87 · Studio · 1 bed · 1 bath,31415280,Ariel,,Temescal,37.83382,-122.26232,Entire home/apt,146,3,38,2023-08-28,1.67,1,15,16,
51153308,Condo in Oakland · 3 bedrooms · 2 baths,154308525,Shannon,,Hoover-Foster,37.82297,-122.27416,Entire home/apt,155,30,2,2022-05-01,0.09,1,363,0,
51177589,Rental unit in Emeryville · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,375080909,Marcus,,Hoover-Foster,37.82012,-122.27441,Private room,60,1,40,2023-09-15,1.69,1,362,18,
51177658,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,250154260,Dereje,,Ivy Hill,37.80083,-122.2441,Private room,45,1,11,2021-09-22,0.42,1,260,0,
51189622,Condo in Oakland · 1 bedroom · 2 beds · 1 private bath,155861977,Elizabeth,,Longfellow,37.83316,-122.26976,Private room,47,1,0,,,1,291,0,
51218268,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,39487738,Charles,,Ivy Hill,37.80172,-122.24366,Entire home/apt,148,31,8,2023-04-01,0.38,1,309,2,
51245590,Home in Oakland · ★4.80 · 2 bedrooms · 2 beds · 2 baths,55602370,Nicholas,,Santa Fe,37.83978,-122.27393,Entire home/apt,295,150,10,2023-07-08,0.39,1,213,1,
51247216,Home in Oakland · ★4.76 · 1 bedroom · 2 beds · 1 bath,313260321,Karma,,Redwood Heights,37.79966,-122.19553,Entire home/apt,101,3,17,2022-09-09,0.68,1,165,0,
51249363,Guest suite in Oakland · ★4.94 · 1 bedroom · 2 beds · 1 bath,8958950,Vivian,,Tuxedo,37.79581,-122.23476,Entire home/apt,109,2,71,2023-09-03,2.73,1,170,9,
51253502,Rental unit in Oakland · ★4.82 · 1 bedroom · 2 beds · 1 bath,414980440,Ann,,Downtown,37.80674,-122.26788,Entire home/apt,135,3,82,2023-09-14,3.21,1,157,27,
51268613,Home in Oakland · ★4.76 · 2 bedrooms · 2 beds · 1 bath,12372047,Anthonia,,Oakmore,37.81608,-122.20601,Entire home/apt,133,3,51,2023-09-05,2.05,1,73,19,
51270677,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,79769587,Musonda,,Pill Hill,37.82286,-122.26767,Entire home/apt,85,2,2,2023-05-31,0.20,1,282,2,
51284097,Rental unit in Oakland · ★4.82 · Studio · 1 bed · 1 bath,48422,Keith,,Lakeshore,37.81438,-122.24592,Entire home/apt,59,10,11,2023-07-06,0.49,12,355,3,
51288785,Guesthouse in Oakland · ★4.98 · 2 bedrooms · 3 beds · 1 bath,53557446,Jennifer,,Reservoir Hill-Meadow Brook,37.79082,-122.22764,Entire home/apt,117,1,94,2023-09-07,4.03,1,336,57,
51292512,Rental unit in Oakland · ★4.50 · 3 bedrooms · 3 beds · 2 baths,174965721,Bobbie,,Hoover-Foster,37.82224,-122.2692,Entire home/apt,143,28,4,2022-09-01,0.16,3,89,0,
51302122,Home in Oakland · ★4.60 · 1 bedroom · 1 bed · 1.5 baths,61008141,Nataly,,Lockwood Tevis,37.76166,-122.20108,Entire home/apt,254,2,10,2022-02-20,0.40,1,0,0,
51304796,Guest suite in Oakland · ★4.90 · 1 bedroom · 2 beds · 1 bath,367272912,Jess,,Oakmore,37.81053,-122.2132,Entire home/apt,103,2,116,2023-08-25,4.46,8,75,44,
51305757,Hotel in Oakland · ★4.69 · 1 bedroom · 1 private bath,521253988,John,,Downtown,37.81076,-122.269,Private room,190,1,13,2023-08-31,0.51,2,82,4,
51331037,Home in Oakland · ★5.0 · 2 bedrooms · 4 beds · 3 baths,467053,Jeremy,,Upper Rockridge,37.84556286591409,-122.24080173998672,Entire home/apt,393,2,6,2023-08-21,0.23,1,80,5,
51336973,Rental unit in Oakland · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Downtown,37.8064722,-122.2695026,Entire home/apt,171,31,1,2023-05-26,0.26,31,254,1,
51343524,Rental unit in Oakland · ★4.80 · 3 bedrooms · 4 beds · 2 baths,156365053,Sierra,,Longfellow,37.83675,-122.2702,Entire home/apt,144,30,15,2023-03-26,0.59,3,356,8,
51350821,Villa in Oakland · 1 bedroom · 9 shared baths,6722695,E.J. Blumberg,,Clinton,37.79597,-122.24036,Private room,200,7,1,2021-12-12,0.05,26,0,0,
51374256,Guest suite in Oakland · ★4.98 · 1 bedroom · 2 beds · 1 bath,69867657,Kevin,,Fairview Park,37.85022,-122.25558,Entire home/apt,118,2,83,2023-09-15,3.28,1,108,32,
51379516,casa particular in Oakland · 1 bedroom · 1 bed · 1 shared bath,102896123,Munir,,Prescott,37.81321,-122.29441,Private room,50,2,2,2021-09-02,0.08,1,0,0,
51407064,Condo in Oakland · ★4.87 · 1 bedroom · 1 bed · 1 bath,54745636,Raul,,Produce And Waterfront,37.790722,-122.267899,Entire home/apt,101,6,30,2023-08-16,1.53,1,200,11,
51409916,Guest suite in Oakland · ★4.94 · 1 bedroom · 1 bed · 1 bath,393221,Justin,,Upper Laurel,37.78807,-122.19092,Entire home/apt,69,2,47,2023-07-29,1.83,1,263,21,
51412288,casa particular in Oakland · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,334627218,Braunz,,Bancroft Business-Havenscourt,37.77083,-122.19306,Private room,55,14,6,2023-04-01,0.25,3,170,1,
51474602,Rental unit in Oakland · ★5.0 · 1 bedroom · 2 beds · 2 baths,56874549,Fatima,,Lakeshore,37.81702,-122.24366,Entire home/apt,79,30,10,2023-08-09,0.44,3,180,5,
51546028,Home in Oakland · ★4.80 · 1 bedroom · 1 bed · 1 bath,7629607,Jintang,,Grand Lake,37.81588,-122.24674,Entire home/apt,139,1,25,2023-06-23,1.06,3,365,6,
51558246,Guest suite in Oakland · ★4.86 · 1 bedroom · 2 beds · 1 bath,57764671,Deborah,,Cleveland Heights,37.8047,-122.25016,Entire home/apt,113,2,49,2023-08-15,1.93,1,180,20,
51562953,Guesthouse in Oakland · ★4.71 · 1 bedroom · 1 bed · 1 bath,5062811,Mira,,Bancroft Business-Havenscourt,37.76848,-122.18789,Entire home/apt,99,2,35,2022-11-13,1.37,2,0,5,
51583060,Rental unit in Oakland · ★4.75 · 3 bedrooms · 3 beds · 1 bath,7629607,Jintang,,Grand Lake,37.81443,-122.2463,Entire home/apt,239,1,44,2023-08-20,1.79,3,356,12,
